210,3999000
160,3299000
240,3690000
141,2320000
300,5399000
198,2999000
153,3149000
142,1989990
138,2120000
149,2425000
194,2399990
200,3470000
189,3299990
447,6999000
126,2599000
230,4499000
132,2999000
123,1999000
260,4999980
303,5990000
176,2529000
188,2550000
160,2429000
196,2599000
389,5739000
110,2499000
145,4645000
252,4690000
220,4750000
263,2999000
183,3499000
100,1699000
204,3149000
313,5799000
181,2859000
143,2499000
123,2299000
213,3450000
421,5490000
216,2870000
166,3685000
223,3299000
256,3140000
120,2990000
85,1799000
185,2999000
120,2395000
